Date,Opinion
24-05-2017,"1. Safety

The reason Me place this at the first position among the things to check for in a new car is that regardless of the engine capacity and all other fancy features, if the car doesn’t have adequate safety features, it could be a disaster waiting to happen given the kind of road accident statistics reported in India.

Did you know that your car should ideally have “curtain” airbags along with the normal frontal airbags to protect your head when there is a sudden impact? These are meant to drop down from the roof and protect the head from whiplash. You could even ask for knee-protection. Also, vehicles are crash-tested and then given star ratings for their safety features. A five star rating, therefore, would be the most preferred. Some of the other safety features that you should check for include:

A. Electronic stability control- this would prevent the car from spinning out of control and sliding sideways when you make a turn at high speed or you suddenly need to swerve, which occurs quite often on Indian roads.

B. Anti-lock brakes – these come in handy when you need to stop your car suddenly, by preventing the wheels from locking up and the car from skidding.

C. Safety alerts – There are different types of safety alerts available such as motion detectors that warn you if another vehicle or object is too close and cameras attached to the rearview mirror that alert you with an alarm if you get distracted.

2. The Engine

Now that you know that your car is safe you need to check the two other important things that Indians are interested in, which is – how fast can this vehicle go and what is the fuel efficiency? Both these aspects are determined by the engine. There are two basic things to check here – the overall displacement of the motor in litres and the number of cylinders in the engine. For instance, a small car would usually have a 1.6 litre four-cylinder engine, which is great for fuel efficiency but might not give you rapid acceleration, especially on an incline. On the other hand, if you have a powerful engine, like a 6.2 litre, eight-cylinder one, you can whizz past everyone else but end up having to cough up much more for fuel, because efficiency here would suffer. Ideally, pick something that is suited for the type of driving you do – if you will be stuck in city traffic, the rapid acceleration won’t be any use.

3. Transmission

So, how do you like your gears to function? Are you looking for automatic transmission, where once you put the stick on drive, the car does all the work for you? Or are you a traditional stick shift lover? Did you know that some of the newer models come with “semi-automatic” transmission, where the clutch is automated and you only need to move the gear stick? While the choice of transmission will really not affect the performance of the vehicle, it would affect the cost, and, of course, the fun element. So choose wisely.

4. Cost of Ownership

This is a vital parameter to consider. It is advisable to have a good heart-to-heart with several dealers and specifically ask for all other hidden and apparent additional costs you might have to bear before you make the decision. One of the most important of these is your car insurance. It is mandatory by law in India that every new vehicle comes along with appropriate vehicle insurance. Nevertheless, you need to protect your assets to the best of your abilities and motor insurance could go a long way, especially in times of unfortunate accidents. The good news here is that many insurers and dealers offer special rebates and offers when you buy a brand new car. So, make sure you check for this while negotiating the deal.

5. Warranties

While your car is brand new, concerns regarding maintenance and servicing are likely to be minimal. However, with use and wear and tear, it certainly helps to have the best warranty on parts. Check with your dealer because most manufacturers have jumped onto the bandwagon to give warranties of up to five years to assert their quality benchmark. You will need to check whether the warranty depends on the number of years or kilometers driven, as well as whether some extended warranties are available. There also might be a few initial servicing deals thrown in by the dealer. So, don’t hesitate to ask about them. This helps ensure the best maintenance and smooth functioning of your vehicle.

6. Depreciation

Keep an eye on how much the car you love will depreciate over time. After all, most of us will look to upgrade our ride or at least get the latest model sooner or later. If the resale value of the current vehicle isn’t up to scratch, you might not even come up with the down-payment for the next one. It is a fact that some brands and models retain their resale value despite the passing years, while others depreciate rapidly causing you to actually lose money at the time of selling them.

7. Reversing Sensors & Cameras

Tight parking spots have become the norm in Indian metros. The best way to ensure that you do it right, without getting a scratch on your precious asset, is to check for parking and reversing aids. Then there is the risk of dogs hiding under the car to warm themselves in winter or hide from the blazing sunshine in summer. Without front and rear sensors, we might just start driving without realizing that we are putting another life at risk. And just in case the sensors give false alarm due to proximity to a plant or tree, you have the camera to check whether there is anything in the way. There are also cameras that work better at night than others. So, check for those too.

8. Navigation

Navigational aids can come really handy when you go on a road trip or move to a new city. Today most high-end automobiles come with such systems as standard equipment, you could add on a navigation unit to any car that you purchase. Check for those that offer freebies, such as map upgrades.

9. Automatic Headlights

Many times you would have noticed car drivers either leaving their headlights on even after parking the car or driving without headlights because the dashboard is backlit anyway. Now you can avoid such mistakes with automatic headlights that switch on themselves when the light dims, like when you enter a long tunnel or under-bridge. They also switch off automatically when the car is parked and locked. So, say goodbye to dead battery woes because you forgot to turn off the lights at night.

10. Freebies & Add-Ons

Never shy away from asking the dealer whether he is willing to throw in any freebies if you choose to buy the car from them. Some might offer you free servicing for a prolonged period, while others might offer extended warranty on some parts. In an attempt to boost sales, both the manufacturers and dealers offer various add-ons to entice customers. See if you can get a rebate on the premiums for car insurance or even a free holiday! Then there are those that promise gold coins and all sorts of bells and whistles to add on to the brand new car to make it all the more swanky."
21-06-2020,"The first thing which I would look for before buying any car would be The Legroom.

I would prefer a car which has larger legroom because I would like to travel in a spacious and comfortable car. The second thing which I would consider is the mileage. Mileage is very important due to the prevailing circumstances in our country. The fuel prices are increasing drastically day by day. Especially if you are a daily commuter, mileage would definitely matter a lot. I would not expect great mileage, but at least a decent one.

Third, the price of the car. Price matters a lot. If I feel that the car which I am going to buy is value for the money, I would definitely go for it. I personally don’t prefer cars with a lot of features(sunroof, cooled glovebox, wireless charging, Auto A/C, Keyless Entry, Different driving modes, etc). Instead, I would look for sheer driving pleasure. It doesn’t matter even if it has a manual transmission.

Fourth, as I mentioned earlier, I don’t prefer cars with a ton of features. Especially the information on the Instrument Cluster such as the average fuel economy, distance to empty, power or torque meter, etc. These are literally distracting while driving. I would simply reject cars with all these gimmicks. They aren’t really very useful. All these features are just for showing off before your relatives and friends. A simple analog instrument cluster is more than enough for me. Fifth, I would look for the performance pleasure of the car. The performance must satisfy ME and not my relatives or friends. I would check if the car could give a good feel to me. I would like to give you an advice. If you think the car doesn’t suit your style and nature of driving, please look for another car even though it gives excellent mileage and has unbeatable performance. Whenever you sit in the car, you must feel excited to drive it and that’s what I call performance pleasure. Even though it is powered by a 100BHP engine, it doesn’t matter unless and until you get the feel and excitement of the car. The performance must be satisfactory for you.

Finally, I would look for the car’s user reviews. I would follow Facebook pages of the car’s owner’s group. This helps me to get an idea about the car. This is a very important aspect to be considered before purchasing a car.

These are the things which I would consider before buying a car. I don’t care about which brand it is, because I am buying the car not for showing off and for selling it at a good cost. I am buying a car for my convenience."
28-06-2020,"when shopping for a car I put fuel economy high on the list. Also reliability. So my shopping starts with a lot of online research.

For where I live and the work I do, All wheel drive is indispensable. I also like to balance all that with a bit of sportiness and performance if I can. So how it feels when I drive it counts for much too.

If I’m shopping for new, then warrantee coverage means a lot to me as well. After that, it comes down to the deal. Can I get it for what I’m willing to pay. Before I go out, I have a budget set, a maximum. I try to shop when I’m not in a must-buy situation. I try to always be prepared to walk away. My mantra is “there will always be another deal. Another car.”

if im shopping used, it’s different. I just shop through ads mostly, see something I like that seems appropriate, and doesn’t look overpriced, then google it. Read reviews, look for what people complain about. I look in online forums specific to that car model, and see what people complain about. Try to see if I need to avoid that model of car. After that if I decide after some research that I’m interested, I look at car. I look for rust first and where is it. Significant rust underneath or any on the body, I take a pass. Is the interior clean, do the floors feel solid. I listen to the engine and I look at it too. Not all engines are quiet, but it should have a pretty monotonous drone, that just increases in tone when the accelerator is pressed. No squeaks or rattles or knocks. I don’t want to see rust everywhere or dirt everywhere or grease or oil everywhere and I don’t want to see signs of any fluid leaks. I check the fluids before start up to make sure they are the right colour and don’t indicate any problems. No signs of coolant in the oil or oil in the rad, which indicates a major engine problem. The oil also shouldn’t smell at all like fuel and the transmission fluid should not smell burnt. If the whole car smells of transmission fluid, I walk away. If it smells at all like it burns any oil, I walk away. If I smell anything electrical I walk away. I check that everything electrical on the car is working. It should start and idle easily. It shouldn’t hesitate when put in drive or when accelerating. It should shift into any gear without difficulty and without any funny noises or thump. All the rest is does it feel right when driving and stopping, or does anything feel off or worn out."
29-12-2019,"Purchasing a car can be really enjoying and a difficult task too.one may get confused while choosing a car for himself, and this happens when you not consider the important key points while purchasing a car

All these confusions lead us to a wrong selection of car for that we sometimes regret in future,so here are top 5 things one must consider while purchasing a car which leads to a great happiness than regret.

1.Looks Its one of the most important thing one should consider before purchasing a car,i know many of you will now be thinking that everyone considers it but let me tell you a majority of persons just go for brand names and in that case even the ugly looking cars are sometimes bought at higher prices that are not worth.but to a great extent look depends upon personal choice.But it matters,so consider a better looking car that is in good dimensions and eye-catching.

2.Pricing and offers

Its one of the most important thing one should consider before purchasing a car,i know many of you will now be thinking that everyone considers it but let me tell you a majority of persons just go for brand names and in that case even the ugly looking cars are sometimes bought at higher prices that are not worth.but to a great extent look depends upon personal choice.But it matters,so consider a better looking car that is in good dimensions and eye-catching.
I know everyone of you consider it cause i know money matters the most,but think in other ways like sometimes we purchase a car that was not worth spending for due to lack of knowledge.

For example,if one purchases a hyundai creta over kia seltos,it's not worth spending for, coz kia seltos offers more advanced features than creta ,so one must see if the car he is purchasing should be value for mone car.

3.Rate of interest Majority of us buy a car through loan on emi's,so one must be well aware about the ongoing rate of interests of different financial firms and one must properly see the loan amount or the interest amount.
Consider a bank that offers low rate of interest.

4.Safety features There is a negligence among lots of customers in considering safety features for their car, infact many of us are not aware that what are safety standards and we even purchase a 0 star NCAP test car.
So safety standards must be considered in any car purchase cause life is more precious than money

5.Car comparison

"
20-05-2018,"Having just bought a car a couple years ago, bleh, I'll show you my process.

So at the start of it all we sat down and asked ourselves 3 questions:

What do we need a vehicle for?
What do we want from the vehicle?
How much are we willing to spend?
For us the answers were:

Family transport and light hauling.
Reliability, compactness, fuel efficiency, safety, and a big cargo space.
And less than $20,000.
All those answers meant we were looking at a lightly used hatchback or a small station wagon. Which meant at this time there were quite a few options for us, unlike when I got my last car about a decade earlier. At this point attrition kicked in: Chevy's only real hatchback was gutless, Ford's two hatchbacks had transmission issues people kept commenting on, VWs were too expensive for the most part, etc.

By the end of this we had a pre VW scandal Jetta wagon, a Mazda 5, and a Honda Fit to choose from. The Jetta was snapped up before we could see it so it came down to the Mazda 5 and the Fit. And that was a case of test drive both and then go home and sleep on it.

Becuase we really liked both.

The Mazda had good space, performance, and great seating. The Fit had decent space but snappier handling and very flexible seating. It also was smaller.

We went with the Fit.

And then shoved a dresser in it, moved a friend, and finally had a car that fit our small city mostly built before cars."
27-11-2017,"My criteria is in first of all what i use the car for, which size i should buy. Second thing i think about is it quite and comfortable ? Third thing is it reasonably reliable ? And fourth, is it worth the money asked for it ? Does it have any extras?

I purchased a Honda CR-V which was bought with P2P rental purposes in mind, so we got something spacious, reliable and with 4 wheel drive system. I quite like after owning it, it´s not the prettiest car out there, but it does everything quite well, some things feel a bit cheap in it, but in general it´s well made. (2007 model, executive version)

If pricing limit is not around my opinions change quite a bit, i do really like the Tesla Model S, it´s slightly down on quality, but think about it this way…this is Tesla second car - and it´s pretty awesome. The A4 paper-size screen is brilliant in the car, makes everything easy, the styling is superb and the tech is nice. Performance is just mind blowing. But one rule i have is to never go for the cheapest option cars of any range, rather buy the older model with more extras.

My personal choice is an old E-class Mercedes Benz (W124), i used to own one, and i have plans to buy me another one, they were made from 1986–1995 (some models vary like cabriolet ended in 1997 i believe), these have pretty much everything i look for in a car, the quality is superb, closing the doors makes a satisfying mechanic sound, a well maintained model will not have one thing that squeaks or rattles, they are quite, super comfortable with a nice suspension. Owning one today requires having many things replace because of age/wear , but i found it surprising that a 4 cylender model like E220 is not actually that expensive to maintain."
24-04-2019,"There can be several factors while buying it.

A few are :

Purpose : Decide for what purpose you are taking whether it is for family/official/fun/… Sort down the usage purpose on how many people travel on regular basis, on what kind of roads you are gonna ride, etc.

Budget : Decide your budget in which range you can afford for. Don’t exceed your budget much unless you find something too worthy in the higher versions. Try to get the best one in your budget.

Performance : Consider a good engine CC, power & torque while going for a vehicle. It decides how good your car can move head while pickup, rough terrains & typical Indian roads.

Petrol vehicles have a better pickup when compared to Diesel ones. Diesel ones need to maintained well & need to be used on a regular basis to be in condition. Petrol ones can be started with an ease even after days of not using it.

Mileage : Mileage is a main constraint for a family budget car. Look for the best one in the range of cars that you have in mind.

This is the one which should not make holes to your pocket.

Safety & Breaking :
Last but not the least !

In fact, the most important one.

Because, you need to be alive to ride your car right !? So, never compromise with the safety part.

Car with Airbags is a must. (Atleast 2 - one for driver & other for co-driver).

Choose the one which has a good breaking system like ABS or an equivalent one. A good breaking system can avoid most of the mishaps. etter avoid the base versions of any model. Most of the times they won’t be having any kind of safety specifications.

Go for the model which have the minimum/basic safety specs & a tougher build quality material.

Research & Reviews :

You need to enough homework before choosing your dream car.

Because, some well analysed reviews might change the perception of yours towards a car. It can be in a good or a bad way.

That is very important."
22-01-2020,"1.) I have to like it

2.) A certain amount of practicality (as in “an M5 has four doors and a boot”)

3.) Can pay for it in cash

4.) Not new, from a brand I consider acceptable (this is quite an obstacle)

There are still “dealbreakers”. In 2005, I was considering to replace my Alfa 156 2.5 V6 with a 159 3.2 V6 Q4 (four-wheel drive) two or three years down the road. Then I’ve read that this actually wasn’t an Alfa engine, but one from Holden (GM) which already killed it. Then there was a test which vaporised the corpse, so to speak. The 159 was no less than 400 kg heavier than my 156, and due to this the 3.2-liter with 70 more horsepowers didn’t really deliver better performance. To disperse the corpse vapour, average fuel consumption was in the range of 17 liters per 100 km, a third more than my already thirsty 156. Weight and performance would have sunk it either way, the fuel consumption might not have.

This time my sights are set on a Giulia QV, which in two years should be available below 40.000 euros. Admittedly, a 510-hp engine is rather useless for me since most of my mileage is driven to and from work, but almost 17 years with the 156 have bent me somehow - I want a V6 engine again, and the QV is the only Alfa featuring one. The 280-hp, straight-four, turbocharged Veloce with four-wheel drive is definitely the reasonable choice in pretty much every regard, but reason already had its fill with four doors and a boot. Can’t be reasonable all the time, or we’d all drive wheeled tranquilisers."
01-04-2018,"There are 80% chances when you buy a car then you face some problems. But I am sure that if you read this carefully then you get tips and tricks to get the best deal when you buying a car.

Tips for buying a car:

Research:

Pre-Financing Options:

Buy From Nearer Store:

Negotiate For Best Price Of The Car:

Choose the best from a new and used car:

Purchase Vichele on purchase price never purchase based on monthly payments:

Best Source is Internet:

Never Mention Your Trade

Know The Factors of Insurance Cost

Avoid Sudden Purchasing

Never waste money on Add-Ons

Never go with extended warranty offer

Take a test drive in your car

Visit the mechanic when buying a used car

Go with your budget"
19-02-2019,"Some of the factors which can affect your decision of buying a car are :—

1- Budget — Determine your budget first and then search for cars which belongs to your budget only. Don't do any research on either expensive or cheap cars.

2- Type of Car (Segment) — Decide which type of car you want :—

Hatchback — smooth city drive, great mileage, in budget

Compact Sedan — comfortable city drive, a bit larger space, good mileage, in budget, additional features

Sedan — a bit luxury, good space, comfortable for driving for long distance

SUV — Powerful, comfortable, meant for long driving sessions, other great features

3- Purpose for buying car : An individual can buy a car for two purposes :—

(a) Personal Use — If you want to purchase a car for personal use then go for comfortable and medium range or high range car.

(b) Commercial Use — If for commercial purposes then go for non-expensive and comfortable cars. As they will cover cost faster and also earns you good profits. Some options are :

• If you want to invest your car in Ola and Uber then you can purchase Hyundai i10, Swift Dzire (Base model) etc.

• And if you want to start you tour and travel agency then go for Toyota Etios (very comfortable), Swift Dzire (Mid-Range model), Innova, etc.

4- Petrol / Diesel — Decide which car you want to purchase a diesel variant or petrol :—

Petrol Variant — If you are purchasing car for personal use and you will not use the car for longer periods at a time then go for petrol versions.

Diesel Variant — If you are purchasing car for commercial use and will use the car regularly for longer periods then go for diesel variant. As diesel is cheaper than petrol so it will increase your profits.

5- Features of car — If you want to make your ride comfortable then go for a car having good features like auto climate, cruise control, controls on steering etc.

Other factors are safety features, no. of members in your family, design, colour, brand of the car, etc."
03-03-2019,"Without going on and on, which I could, here are a few things to keep in mind:

Budget. How much can you realistically afford? Don’t overbuy just because the salesman convinces you that the financing is cheap. It’s not!
Be careful. Don’t look at a car and base all of your decisions on a car just because someone else thinks it’s “the car for you”.
Sit in the car and make sure that it fits you. Often overlooked topic. How does your butt fit in the seat? Can you adjust the seat back into a comfortable position? Do your feet reach the pedals in a very comfortable position? Where does the seat belt ride on you? Can you use the rearview mirrors safely?
Sight-lines and blind spots. Can you see everything? A major cause of accidents is that drivers can't see what they are about to hit. Many newer car designs include sensors and cameras. Plan on getting used to using them.
What style car do you want? An SUV? A 4 door sedan? A pick-up truck? A sports car? An all-wheel-drive car? Be realistic. Find the style that you want. Do you want to be trendy or not? Do you want to express yourself through your car? How much fun do you get out of driving?
Don’t buy an all-wheel-drive car unless you really need it. They are more expensive and don’t get as good gas mileage. But, AWD cars are great if you have a use for it.
Cupholders. We live in a Starbucks world!
How important is cargo room?
And, read Consumer’s Reports. The best place to get unbiased car reviews. It’s interesting how they do their research on a car. They don’t sell advertising on the products that they review. And, so cool here, they have an undercover process where they actually purchase the cars that they review without letting the sales people know where the car is headed. Also, they review the cars with respect to how the normal driver is going to use them. They don’t care how much G-force it can do on a race track!"
17-04-2018,"It depends.

New or Used? This makes huge difference.

New: Good price. Compare it to other cars that were sold in the area. Do your research and go into it with the intention of walking away. As far as what to look for , id say just make sure there are no dings / chips/ dents . No noises when driving the car. Open the hood make sure everything is clean/ no corrosion on the battery terminals (my last new car had a bad battery and it was new) . Not much you can tell right away from a New car but it has a warranty.

Used: Depending on your price range and your expectations this could change. For instance if you buy an $800 car you wouldn’t complain about some scratches or rust etc. You just want it to drive and pass inspection if its required in your state. Check the turn signals , brake lights , clutch if it has one. headlights.

The hard to judge area is probably a used car 3–8 years old. In which case id spend some time figuring out what you want. When you find it , do some research on that exact model. Scour the forums for common problems and ask the seller if they have been addressed or if they have never had an issue.

Check the brakes , tire tread / wear , oil can tell you quite a bit. Pull a spark plug.
Test drive it . Make sure there is no odd noises or lack of power. Let it run for a bit , make sure the fan kicks on and it doesnt overheat. Smoke from the exhaust."
19-04-2019,"It’s the overall ownership experience (includes maintenance, reliability and brand value of the company/car).
It might be different for me if I am buying say for example a second car. I will look only for performance and a manageable service network.
Apart from the ownership experience, I’d like to consider whether that particular car model is successful or not. This might not matter to some but a successful model is comparatively easy to maintain and these models do have a great resale value. Say for example, Hyundai Creta. We all know how much successful it is. You won’t find that level of resale value in Mahindra TUV 3OO. This is the difference.
And you cannot ignore the mileage of the car. It’s directly related to your pocket. Though most cars now give acceptable mileage (within their segment of course) but still mileage considerations matter.
Engine, build quality and safety features."
06-11-2019,"The best choice of car for us is a combination of what works for us and what we love most. So, when we are facing to buy a car, we need to develop a self-selecting rule. Since choosing a car is more difficult for female, I recommend the following five steps. To put it all together, it’s constantly subtracting:

- Firstly, the budget. For car selection, price is the main premise. For example, if you have a budget of $30,000, what is. Your acceptable range? $30,000 to 35,000? This can rule out a large number of cars, generally 20 choices left.

- Second, the models. Sportscar? Sedan? SUV? You have to decide the big model, which again rules out most of the cars. Adding the chosen price, leaving 10 choices.

- Third, the brand. After the price and model are determined, you need to choose the brand of the car. For example, Japanese, German and American cars. Here, some of the cars are excluded and left with no more than 10 choices.

- Fourth, the integrity of exterior, interior and color. You can look at several choices. In. selected prices, models and brands. In horizontal comparison, there are usually 4 or 5 choices left.

- Finally, the displacement.

The mentioned above are the car-selecting rule that tends to be female and, if male, the performance should also be considered."
17-03-2018,"I have an array of vehicles so I will tell you why I bought each. My 2000 f150 2wd. Well I inherited it but it replaced my 89 f150 2wd. I used it as my daily driver and did some work with it on the weekends. If you want to haul things you need a truck. Next my 2000 Firehawk trans am. Not did I buy the wrong car for the intrnded purpose. I wanted a sporty car that I could take on road trips approximately 1–2 days in length. Ha. I drove it about 2 hours and realized my butt was taking a lot of bouncing around from it's firm suspension..it is fast though. So much so that I am afraid to drive it much as I cannot keep it under 100 mph most of the time. It just wants to be there. Doesn't feel dangerous at all. It sticks to the road and with the improved cross drilled slotted rotors and ebc brake pads it stops real nice too. Well that brings me to the gem of my fleet. A 2005 Mercury Montego. You wouldn't give this sedsn a second look but drive it and you know it's all about road trips. Set the cruise, relax with the AC on and when you get there you get there. It's the car for those trips I was talking about. Skip the AWD if your thinking about buying one. Have heard bad thongs about the cvt transmission they have thankfully mines just fwd. Well recently I finally plunked down some greenbacks for a replacement to the 2000 f150 I have been driving for years. She still drives well but she was rusty and doesn't do so well in the snow cone winter. My lady went on a road trip last year with friends and came back raving about the nice fx4 f150 they drove. So I was ready for a replacement for trusty but rusty f150 I had so when a friend posted he was thinking about selling his sharp looking black 2009 fx4 extended cab I scooped it up. Soon we will sell the rusty 2wd f150. She has been good to us but you have to let them go sometime."
13-12-2015,"1) Budget.

This will help you narrow down your search of what exactly you are looking for.

2) Milage

One of important consideration to be made.

3) Power

Depends on where and how you wana drive it.

4) Saftey

ABS , Airbags.

5) Looks

choice can very from person to person

6) Features

Just dont get carried out by sub models ie E,EX,S,SV,V,VX .. See what you really want , you can upgrade your car anytime later .

Fact is this submodels ie V,VX are overpriced .

Decide how much luxury you really need.

S

7) Transmission type

Auto preferably if congested city driving without hassels.

Manual .

8) After purchase Service

9) Maintaince

10) Never think of purchasing Discontinued models or models about to be discontinued .

T

11) Parts availability

12) Offers available during purchase."
